"","x_C2","kcat","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"216",1e-05,100,0.13,13,0.542629045369978,0.870415562564543,FALSE,4,19
"217",1e-05,100,0.15,15,0.53020110448195,0.850480261916942,FALSE,4,19
"218",1e-05,100,0.17,17,0.517773163641173,0.830544961345133,FALSE,4,19
"219",1e-05,100,0.19,19,0.505345222742463,0.810609660680397,FALSE,4,19
"220",1e-05,100,0.21,21,0.492917281878106,0.790674360070765,FALSE,4,19
"221",1e-05,100,0.23,23,0.480489341100348,0.770739059600044,FALSE,4,19
"222",1e-05,100,0.25,25,0.468061400133832,0.750803758826542,FALSE,4,19
"223",1e-05,100,0.27,27,0.455633459373956,0.730868458384504,FALSE,4,19
"224",1e-05,100,0.29,29,0.443205519087683,0.710933158702159,FALSE,4,19
"225",1e-05,100,0.31,31,0.430777577696331,0.690997857247191,FALSE,4,19
"226",1e-05,100,0.33,33,0.418349637259664,0.671062557323603,FALSE,4,19
"227",1e-05,100,0.35,35,0.405921695925925,0.65112725596105,FALSE,4,19
"228",1e-05,100,0.37,37,0.393493755130068,0.631191955461296,FALSE,4,19
"229",1e-05,100,0.39,39,0.381065814629774,0.611256655435647,FALSE,4,19
"230",1e-05,100,0.41,41,0.368637875491997,0.591321357595572,FALSE,4,19
"231",1e-05,100,0.43,43,0.356209934684596,0.571386057077302,FALSE,4,19
"232",1e-05,100,0.45,45,0.343781991691868,0.551450753053611,FALSE,4,19
"233",1e-05,100,0.47,47,0.331354052826121,0.531515455649892,FALSE,4,19
"234",1e-05,100,0.49,49,0.318926112091496,0.511580155248359,FALSE,4,19
"235",0.005,100,0.001,0.00342071853035015,0.623752480722918,0.866896958752988,TRUE,4,19
"236",0.005,100,0.01,0.0342071853035015,0.626785729204058,0.871112595507482,TRUE,4,19
"237",0.005,100,0.03,0.102621555910504,0.633526281398896,0.880480677204325,TRUE,4,19
"238",0.005,100,0.05,0.171035926517507,0.640266833675245,0.889848759014453,TRUE,4,19
"239",0.005,100,0.07,0.23945029712451,0.647007385959221,0.899216840835182,TRUE,4,19
"240",0.005,100,0.09,0.307864667731513,0.6537479382585,0.908584922677178,TRUE,4,19
"241",0.005,100,0.11,0.376279038338516,0.660488490372561,0.917953004261756,TRUE,4,19
"242",0.005,100,0.13,0.444693408945519,0.667229042627738,0.927321086042459,TRUE,4,19
"243",0.005,100,0.15,0.513107779552522,0.673969594798786,0.936689167706238,TRUE,4,19
"244",0.005,100,0.17,0.581522150159525,0.680710147080946,0.946057249524442,TRUE,4,19
"245",0.005,100,0.19,0.649936520766528,0.687450699241143,0.955425331173141,TRUE,4,19
"246",0.005,100,0.21,0.718350891373531,0.694191253155196,0.964793415259365,TRUE,4,19
"247",0.005,100,0.23,0.786765261980534,0.700931803639668,0.974161494579126,TRUE,4,19
"248",0.005,100,0.25,0.855179632587537,0.707674042055745,0.983531919801821,TRUE,4,19
"249",0.005,100,0.27,0.92359400319454,0.71441459336278,0.992900000264787,TRUE,4,19
"250",0.005,100,0.29,0.992008373801543,0.719459812598571,0.999911892556871,TRUE,4,19
"251",0.005,100,0.31,1.06042274440855,0.715915065197985,0.994985369879873,TRUE,4,19
"252",0.005,100,0.33,1.12883711501555,0.703487474295067,0.977713389260445,TRUE,4,19
"253",0.005,100,0.35,1.19725148562255,0.683136656189663,0.949429634295234,TRUE,4,19
